ts,backend,kv_cache_usage_perc,interval_hit_rate,interval_queries,interval_hits,cum_prefix_cache_queries,cum_prefix_cache_hits,num_requests_running,num_requests_waiting,active_program_tokens,reasoning_program_tokens,acting_program_tokens,capacity_overflow
1789511474.8,http://10.100.3.5:8000,0.2543,0.4999,244911,122432,3513997,141440,10,24,2084377,2084377,0,0
1789511476.8,http://10.100.15.12:8000,0.2125,0.0,122706,0,1160888291,1062442576,8,26,2145699,2145699,0,0
1789511476.8,http://10.100.2.5:8000,0.2163,0.0,61155,0,3452512,19568,8,26,2207088,2207088,0,0
1789511476.8,http://10.100.2.6:8000,0.1474,0.0,61362,0,3451595,19216,6,25,2207075,2207075,0,0
1789511476.8,http://10.100.3.5:8000,0.2873,0.0,61172,0,3575169,141440,11,23,2207043,2207043,0,0
1789511478.8,http://10.100.15.12:8000,0.2125,,0,0,1160888291,1062442576,8,26,2084353,2084353,0,0
1789511478.8,http://10.100.2.5:8000,0.2163,,0,0,3452512,19568,8,26,2145870,2145870,0,0
1789511478.8,http://10.100.2.6:8000,0.1474,,0,0,3451595,19216,6,25,2207075,2207075,0,0
1789511478.8,http://10.100.3.5:8000,0.2873,,0,0,3575169,141440,11,23,2023099,1961874,61225,0
1789511480.9,http://10.100.15.12:8000,0.2152,0.2503,122414,30640,1161010705,1062473216,8,26,2084353,2084353,0,0
1789511480.9,http://10.100.2.5:8000,0.1817,0.3328,183817,61168,3636329,80736,7,26,2145957,2145957,0,0
1789511480.9,http://10.100.2.6:8000,0.1913,0.0,61372,0,3512967,19216,7,29,2207075,2207075,0,0
1789511480.9,http://10.100.3.5:8000,0.1905,0.0,61321,0,3636490,141440,7,25,2023317,2023317,0,0
1789511482.9,http://10.100.15.12:8000,0.2335,0.5,122501,61248,1161133206,1062534464,9,24,2145910,2145910,0,0
1789511482.9,http://10.100.2.5:8000,0.1836,0.0,61197,0,3697526,80736,7,28,2207331,2207331,0,0
1789511482.9,http://10.100.2.6:8000,0.2206,0.0,122455,0,3635422,19216,9,27,2207075,2207075,0,0
1789511482.9,http://10.100.3.5:8000,0.2066,0.2585,122491,31664,3758981,173104,8,24,2207403,2207403,0,0
1789511484.9,http://10.100.15.12:8000,0.2335,,0,0,1161133206,1062534464,9,24,2084642,2084642,0,0
1789511484.9,http://10.100.2.5:8000,0.1928,0.0,122516,0,3820042,80736,8,28,2207331,2207331,0,0
1789511484.9,http://10.100.2.6:8000,0.2919,0.4998,122329,61136,3757751,80352,11,25,2207075,2207075,0,0
1789511484.9,http://10.100.3.5:8000,0.2536,0.2572,122573,31520,3881554,204624,10,26,2207403,2207403,0,0
1789511486.9,http://10.100.15.12:8000,0.2881,0.4968,245119,121776,1161378325,1062656240,11,23,2207234,2207234,0,0
1789511486.9,http://10.100.2.5:8000,0.2021,0.0,61347,0,3881389,80736,8,27,2207374,2207374,0,0
1789511486.9,http://10.100.2.6:8000,0.2938,0.0,61323,0,3819074,80352,11,24,2207305,2207305,0,0
1789511486.9,http://10.100.3.5:8000,0.2592,0.0,61257,0,3942811,204624,10,25,2207480,2207480,0,0
1789511488.9,http://10.100.15.12:8000,0.2881,,0,0,1161378325,1062656240,11,23,2145992,2145992,0,0
1789511488.9,http://10.100.2.5:8000,0.2021,,0,0,3881389,80736,8,27,2207441,2207441,0,0
1789511488.9,http://10.100.2.6:8000,0.2938,,0,0,3819074,80352,11,24,2146069,2146069,0,0
1789511488.9,http://10.100.3.5:8000,0.2592,,0,0,3942811,204624,10,25,2207557,2146216,61341,0
